case,x,v_x_0
h=0,0.11720000000000001,0.10791881677070968
h=0,0.11760000000000001,0.10828209737202694
h=0,0.11800000000000001,0.10864529345490574
h=0,0.1184,0.10900840480618659
h=0,0.1188,0.10937143121270003
h=0,0.1192,0.10973437246126187
h=0,0.11960000000000001,0.11009722833867777
h=0,0.12000000000000001,0.1104599986317413
h=0,0.12040000000000001,0.11082268312723394
h=0,0.1208,0.111185281611927
h=0,0.1212,0.11154779387258142
h=0,0.1216,0.1119102196959465
h=0,0.12200000000000001,0.11227255886876357
h=0,0.12240000000000001,0.1126348111777624
h=0,0.1228,0.11299697640966472
h=0,0.1232,0.11335905435118311
h=0,0.1236,0.11372104478902145
h=0,0.124,0.11408294750987472
h=0,0.12440000000000001,0.11444476230043055
h=0,0.12480000000000001,0.11480648894736897
h=0,0.1252,0.11516812723736249
h=0,0.12560000000000002,0.11552967695707705
h=0,0.126,0.11589113789317143
h=0,0.1264,0.11625250983229819
h=0,0.1268,0.11661379256110446
h=0,0.1272,0.1169749858662308
h=0,0.12760000000000002,0.11733608953431428
h=0,0.128,0.11769710335198441
h=0,0.12840000000000001,0.11805802710586843
h=0,0.1288,0.11841886058258776
h=0,0.1292,0.11877960356876079
h=0,0.1296,0.11914025585100205
h=0,0.13,0.11950081721592236
h=0,0.13040000000000002,0.11986128745013053
h=0,0.1308,0.12022166634023182
h=0,0.1312,0.12058195367282962
h=0,0.1316,0.12094214923452547
h=0,0.132,0.12130225281191938
h=0,0.13240000000000002,0.12166226419160997
h=0,0.1328,0.12202218316019454
h=0,0.1332,0.12238200950427025
h=0,0.1336,0.12274174301043474
h=0,0.134,0.12310138346528439
h=0,0.13440000000000002,0.12346093065541668
h=0,0.1348,0.12382038436742979
h=0,0.13520000000000001,0.12417974438792341
h=0,0.1356,0.12453901050349779
h=0,0.136,0.12489818250075584
h=0,0.1364,0.12525726016630231
h=0,0.1368,0.1256162432867442
h=0,0.13720000000000002,0.1259751316486915
h=0,0.1376,0.1263339250387576
h=0,0.138,0.12669262324355857
h=0,0.1384,0.1270512260497156
h=0,0.1388,0.12740973324385313
h=0,0.13920000000000002,0.1277681446126002
h=0,0.1396,0.12812645994259073
h=0,0.14,0.12848467902046393
h=0,0.1404,0.12884280163286457
h=0,0.1408,0.12920082756644333
h=0,0.14120000000000002,0.12955875660785743
h=0,0.1416,0.12991658854376956
h=0,0.14200000000000002,0.13027432316085075
h=0,0.1424,0.13063196024577817
h=0,0.1428,0.13098949958523656
h=0,0.1432,0.1313469409659201
h=0,0.1436,0.13170428417452937
h=0,0.14400000000000002,0.1320615289977743
h=0,0.1444,0.13241867522237397
h=0,0.1448,0.13277572263505683
h=0,0.1452,0.13313267102256027
